"probe","EntrezGene.ID","coefficient"
"204940_at",5350,-1
"218273_s_at",54704,1
"210976_s_at",5213,-1
"206011_at",834,1
"211578_s_at",6198,-1
"200824_at",2950,1
"209242_at",5178,-1
"213462_at",4862,1
"220414_at",51806,1
"205543_at",22824,-1
"218918_at",57134,1
"212325_at",22998,1
"221042_s_at",79789,1
"211548_s_at",3248,-1
"204983_s_at",2239,1
"204637_at",1081,-1
"204972_at",4939,1
"202017_at",2052,1
"204364_s_at",65055,1
"202357_s_at",629,1
"206662_at",2745,1
"212875_s_at",25966,1
"201367_s_at",678,1
"202353_s_at",5718,-1
"208997_s_at",7351,1
"201030_x_at",3945,-1
"218322_s_at",51703,1
"204875_s_at",2762,1
"211944_at",23215,1
"222075_s_at",51686,1
"203888_at",7056,1
"204042_at",10810,-1
"212249_at",5295,1
"204607_at",3158,1
"201946_s_at",10576,-1
"202286_s_at",4070,1
"211110_s_at",367,1
"210835_s_at",1488,1
"212841_s_at",8495,1
"213931_at",3398,1
"208949_s_at",3958,1
"213308_at",22941,1
"212590_at",22800,-1
"210732_s_at",3964,1
"203649_s_at",5320,1
"213562_s_at",6713,-1
"210139_s_at",5376,1
"203914_x_at",3248,-1
"211657_at",4680,1
"214130_s_at",9659,1
"212256_at",55568,1
"213564_x_at",3945,-1
"39549_at",4862,1
"205047_s_at",440,-1
"221582_at",92815,-1
"218514_at",55181,-1
"209617_s_at",1501,-1
"211965_at",677,1
"213107_at",23043,1
"201884_at",1048,1
"207156_at",8969,-1
"205741_s_at",1837,-1
"217975_at",51186,-1
"203509_at",6653,1
"218313_s_at",51809,1
"203608_at",7915,-1
"36711_at",23764,-1
"213236_at",23328,1
"41644_at",23328,1
"205757_at",957,1
"201860_s_at",5327,1
"209849_s_at",5889,-1
"208920_at",6717,-1
"204137_at",7107,1
"218730_s_at",4969,-1
"213353_at",23461,-1
"209970_x_at",834,1
"205990_s_at",7474,1
"203895_at",5332,-1
"202336_s_at",5066,1
"205879_x_at",5979,1
"201116_s_at",1363,-1
"203786_s_at",7164,1
"208729_x_at",3106,1
"205278_at",2571,1
"205379_at",874,1
"202962_at",23303,1
"218277_s_at",79665,-1
"212816_s_at",875,-1
"205645_at",9185,1
"205013_s_at",135,-1
"215536_at",3120,1
"214329_x_at",8743,1
"203757_s_at",4680,1
"221194_s_at",51136,-1
"216693_x_at",50810,-1
"203414_at",23531,-1
"206070_s_at",2042,-1
"205225_at",2099,1
"216250_s_at",9404,1
"220108_at",9630,1
"204446_s_at",240,1
"211368_s_at",834,1
"202687_s_at",8743,1
"202342_s_at",23321,-1
"211366_x_at",834,1
"204654_s_at",7020,1
"219312_s_at",65986,-1
"203221_at",7088,1
"201369_s_at",678,1
