classes	BT549 || Claudin	HBL100 || Claudin	HS578T || Claudin	MDAMB157 || Claudin	MDAMB231 || Claudin	MDAMB435 || Claudin	MDAMB436 || Claudin	SUM159PT || Claudin	SUM1315 || Claudin	600MPE || Others	AU565 || Others	BT20 || Others	BT474 || Others	BT483 || Others	CAMA1 || Others	DU4475 || Others	HCC38 || Others	HCC70 || Others	HCC202 || Others	HCC1007 || Others	HCC1008 || Others	HCC1143 || Others	HCC1187 || Others	HCC1428 || Others	HCC1500 || Others	HCC1569 || Others	HCC1599 || Others	HCC1937 || Others	HCC1954 || Others	HCC2157 || Others	HCC2185 || Others	HCC3153 || Others	LY2 || Others	MCF7 || Others	MDAMB134 || Others	MDAMB175 || Others	MDAMB361 || Others	MDAMB415 || Others	MDAMB453 || Others	MDAMB468 || Others	SKBR3 || Others	SUM44PE || Others	SUM52PE || Others	SUM149PT || Others	SUM185PE || Others	SUM190PT || Others	SUM225CWN || Others	T47D || Others	UACC812 || Others	ZR751 || Others	ZR7530 || Others	ZR75B || Others
Group	Claudin	Claudin	Claudin	Claudin	Claudin	Claudin	Claudin	Claudin	Claudin	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others
1999	-3.829	-2.74	-3.352	-3.302	-3.276	-3.545	-2.926	-3.607	-2.633	-0.592	4.175	1.113	0.673	-0.217	-1.948	-2.096	-0.88	1.475	1.328	0.67	2.027	2.111	1.052	-0.865	-1.955	-0.544	1.965	1.2	0.781	1.536	2.858	1.697	-1.243	0.462	-2.922	1.942	0.026	0.355	-1.196	2.196	2.847	-0.957	-0.334	-2.552	1.255	-1.516	0.235	-1.524	0.504	1.988	0.296	0.628
80303	-4.227	-5.06	-4.186	-4.07	-4.279	-5.565	-3.569	-4.236	-4.438	0.985	1.528	-5.573	1.414	2.585	3.319	-4.599	-5.215	-4.903	1.962	1.547	1.531	-0.674	1.161	3.15	-5.201	-0.945	0.229	-2.979	-4.417	2.479	2.161	-0.671	-5.988	-3.629	0.427	1.4	-0.826	0.644	-0.07	0.983	1.365	2.838	0.704	-5.864	0.361	1.394	1.849	1.977	0.653	-0.092	0.355	-0.683
1466	3.418	3.464	0.88	2.315	2.928	4.383	4.795	1.028	1.908	-0.777	-0.896	-1.816	-0.261	-2.061	-1.747	1.28	1.257	-1.989	3.468	-1.159	1.941	-0.335	4.608	-1.624	5.369	0.713	1.233	-0.896	-1.578	0.527	0.607	2.138	-0.582	-1.305	-0.438	-1.535	0.227	-1.266	-1.681	-1.886	-1.568	0.995	-1.158	1.982	-1.445	1.078	-0.924	-2.131	-0.786	-2.044	-1.79	0.112
7586	-2.084	-2.72	-2.041	-0.693	-0.575	0.065	-0.086	-1.736	-1.949	1.418	-2.225	-1.956	0.882	2.408	1.016	-0.138	-1.062	-0.325	-0.086	-1.34	0.695	0.497	0.48	-0.475	-1.178	-0.696	1.072	-1.358	-1.722	-0.935	0.434	-1.235	0.404	-0.236	-1.279	1.072	0.313	0.582	1.152	-1.264	0.389	1.424	2.219	-1.217	1.35	1.565	0.837	-1.978	1.31	1.999	0.403	0.293
26298	-1.547	-1.513	-1.326	-1.422	-1.294	-1.563	-2.06	-1.228	-1.309	2.418	-0.697	-0.632	0.778	0.282	-1.871	-1.825	-1.153	1.93	1.79	4.791	5.99	0.886	-0.433	-0.801	4.022	-1.399	4.856	3.897	-0.057	6.529	5.588	4.306	-1.762	-1.832	-1.614	1.302	-0.505	-0.38	2.503	1.97	-1.286	0.365	1.526	2.068	2.908	3.935	3.334	4.821	3.254	3.454	-0.354	-0.145
5863	-1.308	-0.989	-0.824	-0.943	-0.951	-0.828	-1.879	-1.582	0.53	0.477	1.131	-0.129	1.139	2.749	0.935	-1.014	0.417	0.109	0.756	0.57	-0.114	-0.563	0.563	1.054	-0.48	-1.102	-0.486	-0.827	-1.162	-1.169	-0.737	-0.164	-0.032	-0.594	0.619	0.431	0.807	0.169	1.627	-0.138	1.272	0.106	0.34	-0.616	0.785	-0.911	0.361	0.9	1.19	1.254	0.371	-1.147
54974	1.117	0.555	0.472	0.689	0.793	-0.126	0.804	1.135	1.087	0.219	0.155	-1.146	0.4	-0.822	0.773	0.041	-0.361	-0.933	-0.584	-0.376	-0.562	-0.74	-0.932	-1.165	0.407	0.029	-0.625	-0.229	-0.275	-0.468	-0.619	-0.768	0.474	1.134	-1.058	-0.81	-1.242	-0.159	-0.944	0.52	0.135	-0.775	-0.509	0.351	0.043	-0.004	-0.115	1.87	-0.294	1.016	-1.352	0.418
5917	0.601	0.732	0.801	1.21	0.885	0.342	0.395	0.801	0.682	-1.206	-0.227	-0.276	-0.553	-0.115	-0.061	0.02	-0.702	-0.427	-1.306	-0.459	0.448	-1.14	-0.697	-0.632	0.3	-0.227	0.255	1.369	0.627	-0.534	-0.823	-0.943	-0.355	-0.138	-0.141	-1.535	-1.457	-0.33	-0.645	1.822	-0.099	-0.007	0.363	-0.085	-0.022	0.701	-0.03	0.565	-0.168	0.079	-0.634	0.585
7064	-0.037	0.487	0.483	0.33	0.846	1.194	-0.666	1.704	0.858	-0.53	0.605	0.589	0.226	-0.115	0.462	0.473	-0.509	-1.3	-0.195	-0.819	-0.237	-0.691	-0.809	0.686	0.393	-0.639	-0.07	-0.623	-0.054	-0.131	-1.053	1.077	0.337	-0.383	0.03	0.21	-0.571	-1.088	0.02	-0.753	-0.05	-0.818	-1.226	0.115	-0.521	-0.21	-1.062	0.249	-0.101	-1.646	-0.83	0.373
3201	-0.421	1.701	1.048	0.661	-0.278	1.068	0.927	0.476	0.777	0.311	-0.551	0.071	-0.17	-0.489	-0.276	1.718	0.512	-0.661	0.267	0.273	-0.464	0.267	-0.427	-0.089	0.108	-0.09	-0.763	0.231	-0.137	-0.047	-0.217	-0.179	0.497	-0.048	-0.092	-0.189	-0.562	-0.117	-0.244	-0.152	0.086	0.157	0.056	-0.125	-0.363	-0.572	-0.39	-0.181	-0.638	-0.049	0.052	-0.763
10257	2.541	0.128	0.997	2.17	0.827	0.623	3.844	1.834	0.244	-0.119	2.609	-1.251	-0.828	-1.172	-0.749	0.611	1.186	-0.978	-0.69	4.196	1.488	0.468	-0.9	-0.858	0.055	2.169	2.105	-0.63	0.248	-1.124	-0.747	-0.103	0.249	-0.292	-1.288	0.284	-0.248	-0.591	-0.827	1.789	-0.044	-0.781	-1.271	0.44	-0.085	-0.618	-1.192	-1.335	-0.447	-1.266	-0.398	0.198
9442	0.475	0.714	0.783	0.742	0.452	0.241	0.819	0.559	0.027	-0.835	-0.435	0.958	0.038	-0.308	-1.291	-0.147	0.465	-0.141	-0.414	-0.471	0.022	-0.311	0.336	-0.107	0.501	0.646	0.304	-0.062	0.53	-0.545	-0.731	0.044	0.237	-0.631	0.051	-0.495	-0.325	-0.97	-0.332	-0.387	-0.574	-0.888	-0.109	0.014	-0.377	-0.424	-0.649	0.014	-1.087	-0.738	-0.628	-0.083
51283	0.681	0.392	0.079	0.332	0.554	1.507	1.269	0.537	0.766	-0.897	-0.612	0.313	0.283	-0.453	-0.061	-0.551	0.033	-0.399	-0.952	-1.537	-1.313	-0.371	-0.031	-0.989	0.416	-0.473	-0.445	-0.139	-0.917	0.354	-1.765	-2.059	0.326	-0.119	-0.199	0.121	0.96	0.622	0.035	-0.871	-1.268	-0.069	0.285	-0.436	-0.292	-0.229	0.535	-0.344	0.724	0.712	-0.78	-0.473
25907	7.92	1.671	6.142	2.924	0.976	2.792	5.015	6.556	1.084	-0.009	-1.001	2.379	-0.753	-0.922	-0.591	1.922	0.545	-0.855	0.046	-0.878	1.822	-0.087	-0.372	-1.202	-0.589	1.387	-0.078	-0.082	1.469	0.37	-1.117	0.262	-1.099	-0.832	0.973	-0.497	-0.602	-0.717	-0.768	-0.143	-1.174	0.089	0.128	2.34	-0.489	0.414	-0.944	-1.142	-0.135	-0.236	-0.498	-0.556
57111	-6.648	-7.479	-6.619	-6.907	-6.651	-7.692	-7.355	-8.033	-7.416	1.396	1.271	-0.637	-0.9	0.804	1.14	-0.974	-4.948	0.383	0.284	0.152	2.269	-0.005	-0.47	0.206	-1.273	-4.447	2.102	0.495	-0.8	0.004	0.151	0.276	-0.809	-0.156	-1.584	2.438	-1.668	-1.272	-0.18	0.001	0.178	-0.618	0.263	-1.319	0.816	0.61	-0.262	1.233	1.315	0.538	0.449	0.726
64400	-1.799	-1.965	-1.313	-3.097	-0.045	-1.426	-0.405	-0.908	-0.222	-1.208	1.947	1.086	0.722	-0.085	1.498	-1.634	0.025	0.119	-1.263	-0.519	-0.295	-1.621	-1.15	1.126	-0.342	-1.161	-0.114	2.511	-0.888	-0.946	0.821	0.171	0.574	0.767	-1.658	0.321	0.774	0.394	1.015	2.083	1.54	3.402	1.393	-0.611	0.964	0.379	2.836	0.504	-0.091	-0.566	0.889	-0.506
8406	-0.626	1.976	1.144	2.009	0.6	8.591	7.239	7.685	7.792	0.075	-0.293	-0.18	0.384	-0.305	-0.911	-0.037	1.2	0.251	-0.238	-0.603	0.568	3.059	-0.55	-0.146	-0.779	6.688	0.086	-0.315	1.545	0.275	-0.267	-0.088	-0.316	-0.482	-0.106	0.188	0.153	-0.057	-0.395	-0.554	-0.43	0.714	-0.534	5.378	-0.59	2.932	-0.538	-0.74	-0.563	-0.109	-0.513	-0.252
1856	1.193	1.074	0.69	0.781	0.013	0.924	1.397	-0.403	0.594	0.291	-0.12	-0.103	0.471	0.201	-0.613	0.219	0.155	-0.304	1	-0.289	-0.362	0.337	0.668	0.39	0.638	0.384	-0.045	-0.318	-1.144	-0.646	0.017	-0.121	-0.188	-0.102	-0.18	-0.25	0.116	-0.248	-0.01	-0.352	-0.263	-0.398	-0.409	0.147	0.376	-0.493	-0.046	-0.162	-0.45	-0.449	-0.609	-0.272
1371	0.273	-0.051	1.317	0.884	1.077	3.063	1.849	1.665	0.022	-1.051	-0.633	0.345	-0.573	-0.369	0.477	-0.483	-1.617	2.504	-0.544	-0.924	-0.577	0.585	-0.668	-1.416	2.326	-0.573	-0.158	-0.942	1.193	-2.567	-0.066	-0.712	-0.034	-1.009	-2.502	0.047	0.164	0.651	-0.792	0.415	-1.107	-1.937	-3.067	0.742	-1.213	0.106	-0.299	0.114	1.199	-0.081	-2.219	1.891
5493	-3.005	-3.776	-3.628	-3.616	-3.731	-3.334	-2.347	-4.292	-1.96	0.068	2.686	2.399	0.653	0.348	-0.508	-1.298	-1.717	1.801	0.246	1.519	1.469	0.764	-0.079	-1.603	2.304	-3.052	2.687	0.969	-0.619	-3.026	3.147	-1.785	1.823	-0.154	-1.728	-0.02	1.629	1.522	-1.806	-4.424	1.233	1.756	-0.343	-1.531	0.721	4.203	3.194	-0.543	2.28	-0.667	0.346	0.529
79633	2.347	0.283	0.325	1.04	1.026	0.479	-0.089	0.457	0.893	0.075	-0.235	-0.437	0.261	-0.212	-0.231	0.603	0.744	-0.454	0.493	-0.164	-0.41	0.139	-0.224	-0.289	-0.217	0.649	-0.41	-0.437	0.223	-0.101	-0.311	-0.749	0.205	-0.143	0.082	0.286	0.035	-0.084	-0.238	-0.641	0.141	-0.044	-0.051	-0.261	-0.304	-0.42	-0.431	0.23	-0.324	-0.068	-0.112	-0.155
9410	0.53	-0.34	1.027	0.168	1.665	0.668	1.446	0.716	0.689	-0.4	-0.701	0.26	-0.025	-0.831	0.592	-1.07	-1.03	0.69	-0.224	-0.141	-0.016	-0.648	0.178	0.077	0.394	0.433	-0.292	-0.177	0.279	0.183	-0.506	-0.134	-1.987	-0.586	0.543	-1.251	-0.52	0.502	0.491	-0.317	-1.904	-0.912	0.09	0.392	-0.529	-0.393	-0.337	-0.359	-0.645	-1.072	-0.361	0.379
2625	-1.863	-1.005	-1.406	-2.12	-1.101	-2.532	-1.548	-2.617	-2.055	-0.64	-1.746	0.035	-0.247	7.559	6.245	-1.085	0.208	0.031	2.48	5.048	-1.602	-1.761	0.779	4.435	-0.524	-1.974	-1.865	-0.789	-0.781	-1.987	4.451	-2.042	6.057	7.38	5.888	3.554	2.888	2.525	6.904	-0.159	-1.17	2.939	2.543	-1.146	4.736	0.612	-0.024	6.17	4.722	1.449	3.551	5.555
29923	-1.624	-2.007	-1.068	-1.942	-2.127	-1.262	0.617	-1.784	-2.079	-0.554	3.596	-1.771	3.163	-0.114	0.33	-1.356	-2.074	-1.17	0.633	0.786	0.388	-2.052	2.032	0.296	-1.42	-0.277	0.253	-2.493	-2.241	0.514	2.508	-0.92	0.505	0.784	-1.506	1.467	0.488	-0.407	0.164	-1.809	2.373	1.067	0.299	-1.245	0.884	0.575	1.547	1.411	1.038	1.795	-1.095	-0.449
9026	-1.572	-0.591	-1.12	-0.556	-0.072	-0.578	-0.943	-0.161	-1.215	0.956	0.313	-0.046	0.993	0.72	-0.577	-0.302	-0.568	0.585	0.967	-0.078	0.329	0.786	0.569	-0.293	-0.138	-1.077	0.942	-0.584	-0.553	-0.408	0.027	-1.013	0.183	0.425	-0.083	0.822	1.3	-0.051	0.403	-0.143	-0.446	0.567	0.752	-0.761	0.945	0.676	-0.261	0.316	0.013	-0.104	0.97	0.262
79056	-0.849	-0.526	-0.669	-0.75	-1.036	-0.685	-0.832	-1.609	-0.741	0.739	-0.431	1.029	-0.571	0.367	0.965	0.701	0.071	-0.309	-0.531	-0.152	-1.231	-0.24	0.314	0.528	-0.083	-0.533	-0.988	0.926	0.188	0.058	-0.388	2.101	0.73	-0.879	0.176	-0.117	-0.012	-0.012	0.995	1.625	0.584	0.271	0.941	1.747	-0.5	0.267	-0.64	-0.317	-0.632	-0.098	0.311	-0.874
6653	-1.587	-1.122	-1.516	-2.129	-2.129	-2.053	-2.078	-1.145	-1.61	-0.442	3.844	0.808	0.277	1.154	-0.581	3.89	-2.6	-1.224	1.249	0.108	-0.939	1.329	-0.349	0.769	0.795	-0.927	-0.831	-0.892	-1.374	0.195	1.115	-0.574	0	-1.827	-0.104	1.596	1.871	1.683	0.696	0.941	2.91	-0.053	2.404	-1.486	1.012	-1.41	2.661	2.743	2.589	1.275	0.918	-0.765
970	4.716	4.835	0.551	2.755	-0.42	0.44	1.438	-0.18	2.724	0.318	-0.561	-0.378	0.159	-0.203	0.398	0.964	0.895	-0.676	0.615	-0.285	-0.407	-0.157	-0.274	-0.564	-0.264	-0.453	-0.787	2.496	-0.242	0.232	-0.367	1.658	0.391	-0.043	-0.368	0.137	-0.464	0.059	-0.135	0.071	0.916	-0.09	-0.252	0.244	-0.44	-0.264	-0.887	0.19	-0.917	0.301	-0.104	-0.909
26504	-0.962	-1.215	-1.023	-1.023	-1.313	-0.698	-0.873	-1.311	-0.826	-0.68	0.637	0.34	0.956	0.82	-0.142	-0.302	-0.311	0.012	0.454	-0.62	0.322	-0.488	-0.17	2.736	-0.769	1.008	0.454	0.853	-0.913	0.591	0.793	-0.879	0.493	0.881	0.038	1.114	0.208	-0.487	-0.393	0.342	0.899	0.604	-0.065	-0.468	0.186	-0.828	-0.148	0.732	0.495	1.046	-0.05	-0.605
79188	1.188	0.602	1.15	0.493	-0.174	0.127	0.885	1.058	1.029	-0.809	-0.695	-0.019	-0.15	-1.889	-0.174	-0.493	0.117	-0.276	0.041	0.213	0.358	0.958	-0.413	-0.893	-0.008	-0.191	0.478	0.045	0.182	0.068	1.087	0.882	0.71	0.283	-0.898	-0.679	-1.611	-0.845	-0.858	-1.022	-0.08	-0.617	0.333	-0.092	-0.841	-0.636	-0.842	-0.235	0.781	-1.221	-0.119	-0.284
2534	-0.418	0.911	2	1.101	1.908	2.882	0.688	0.821	0.493	1.011	-0.612	1.349	-0.338	-0.727	-0.8	1.448	0.26	-0.764	0.082	-0.473	0.225	1.24	-0.176	-0.654	-0.915	-0.107	0.923	0.102	-0.077	-0.186	2.001	1.069	-0.053	-0.7	1.013	-0.914	-0.6	-0.132	-0.76	-0.243	-0.139	-0.36	0.588	-0.401	-0.583	0.252	0.813	-0.681	0.111	-0.867	0.023	-0.852
5525	-0.959	-0.594	-1.197	-0.814	-0.581	-0.65	-0.846	-0.837	-0.103	0.686	0.585	-0.229	-0.522	0.264	0.063	0.172	-0.441	0.019	0.114	-0.217	0.104	-0.281	-0.096	0.487	-0.177	-0.189	0.27	-0.344	-0.252	2.639	-0.302	-0.403	-0.192	-0.812	-0.143	0.169	-0.073	0.231	0.52	0.156	0.58	0.235	-0.035	-0.518	0.056	-0.659	0.014	0.01	0.007	1.646	0.897	0.628
80723	0.205	1.344	3.236	-0.448	4.151	0.036	2.102	0.994	-0.09	0.256	-0.344	-0.571	-0.64	-0.494	-0.419	0.017	2.537	0.098	0.278	-0.582	0.017	-0.218	0.959	-0.129	2.084	0.556	-0.154	0.936	-0.485	-0.215	-0.737	-0.984	0.649	-0.149	-0.167	-0.586	0.535	-0.219	0.086	-0.415	0.216	-0.598	0.244	1.855	-0.313	1.047	-0.627	0.056	-0.334	-0.389	0.309	-0.461
10298	-0.839	-0.296	-0.675	0.074	-1.138	-0.79	-1.231	-1.221	-0.996	0.097	-0.094	0.171	0.41	0.979	-0.122	-0.169	0.554	-0.092	0.087	0.329	0.575	0.058	-0.301	-0.214	-0.644	-0.806	0.766	0.355	-0.534	-0.868	-0.17	-0.026	0.118	0.196	0.03	0.75	-0.097	-0.264	0.915	-0.316	0.44	-0.516	-0.884	-0.857	0.523	-0.751	0.043	-0.438	0.829	0.048	0.903	-0.003
7905	-1.233	-1.42	-1.047	-1.552	-0.631	-1.622	-3.545	-0.876	-1.719	0.21	0.485	-1.731	-0.514	1.401	3.33	-2.552	-2.327	-0.815	-1.004	0.029	-1.112	-2.108	-2.163	1.728	-1.269	-0.656	-1.354	-1.346	1.494	0.824	-0.076	-1.548	0.474	0.581	0.176	0.82	0.743	0.547	2.9	-0.065	1.093	3.167	2.063	-1.807	0.565	-0.133	1.567	2.794	-0.182	1.32	1.621	0.817
26575	-0.254	0.153	0.383	0.898	0.79	0.139	4.263	1.39	2.131	0.271	0.022	-0.407	-0.219	-0.63	-0.444	1.091	-0.471	-0.283	-0.179	-0.462	-0.217	-0.105	-0.026	-0.356	-0.301	-0.271	-0.024	-0.601	-0.596	-0.22	0.101	-0.296	0.217	1.587	-0.095	0.282	0.12	0.156	-0.07	0.019	0.977	-0.017	-0.193	-0.09	-0.54	-0.014	-0.126	-0.809	-0.247	-0.206	-0.409	-0.675
23086	-1.739	-0.957	-2.269	-1.289	-0.485	-2.743	-2.117	-0.984	-1.961	0.3	2.234	0.451	-0.126	0.078	-1.828	-0.704	-0.587	0.206	-0.528	-0.092	0.794	0.06	-0.015	0.644	0.803	0.022	1.287	0.548	-0.691	1.291	3.529	1.602	-1.137	-1.08	-0.771	-0.574	-0.262	0.09	0.941	1.053	1.583	-0.818	-0.209	-0.489	0.306	-0.199	1.964	1.051	0.87	1.273	1.097	0.87
857	7.588	5.473	8.711	6.87	7.555	4.135	5.669	7.999	7.336	-1.891	-2.316	3.985	-2.033	-1.944	-2.696	-0.77	4.54	3.676	0.131	-2.29	-1.416	6.682	-1.77	0.544	7.426	-1.686	-2.069	5.484	4.627	6.467	-0.323	4.582	0.339	1.278	-2.013	-2.167	-1.736	-1.017	-2.334	4.381	-0.656	-1.994	-1.745	5.931	-1.918	4.124	-0.509	-1.536	-2.213	-2.105	-1.821	-2.602
54964	-0.662	-0.997	-0.414	-0.97	-1.207	-0.553	-0.03	-0.363	-0.27	1.064	-0.322	-0.129	-0.431	1.676	0.588	1.032	-0.427	0.185	1.117	-0.127	0.262	0.73	0.718	0.268	-0.736	-0.456	0.679	-0.742	-0.411	-0.088	-0.265	-0.527	0.991	0.181	0.967	2.393	-0.33	-0.045	1.637	-0.053	1.056	-0.395	0.613	-1.062	-0.331	0.175	-0.297	0.406	1.174	0.486	0.497	0.287
7291	4.017	2.261	3.245	7.051	-0.759	3.001	6.063	0.928	8.666	-0.086	-0.573	-1.062	1.648	-0.469	1.818	-0.71	5.043	-0.55	-0.541	-0.791	-0.029	1.131	-0.303	-0.258	0.193	-0.425	0.512	-1.051	0.277	-0.889	-1.173	-0.786	-0.588	-0.696	1.622	4.696	0.234	-0.976	-0.973	-0.695	-0.725	5.167	-0.377	2.946	-0.228	1.213	-0.947	-0.166	-0.833	1.514	0.031	0.885
1192	0.534	0.648	1.078	1.379	1.665	1.237	-0.694	1.206	1.743	-0.868	-0.779	0.959	-0.631	-0.106	1.496	0.212	0.749	0.127	-0.094	-0.582	-0.939	0.322	-0.583	-0.113	1.03	-1.154	-0.42	0.195	0.553	-0.605	-1.066	0.6	-0.119	-1.428	-0.433	-0.53	-0.327	0.361	-0.817	1.35	-1.479	-0.376	-1.23	0.954	-0.377	0.269	0.389	-2.351	0.143	-0.686	-0.058	-1.02
133	1.265	0.139	5.242	1.842	0.922	3.56	4.47	-0.17	2.279	-3.366	1.912	3.017	-0.803	-3.155	-3.538	-1.23	0.351	-2.392	-0.552	1.962	1.55	0.453	1.265	-0.946	1.227	-1.84	-0.254	2.222	3.303	1.229	-0.631	-1.513	-0.436	-1.624	0.026	0.226	-1.587	-0.75	-3.521	1.38	-1.003	-2.549	-1.128	-0.053	-2.596	-0.768	0.124	1.363	0.109	-1.738	-2.697	-4.264
3977	0.402	1.04	0.532	2.63	0.291	-0.017	0.778	1.795	-0.336	-0.393	0.313	1.553	-0.457	-0.537	-0.165	0.213	1.015	0.23	-0.101	-0.471	-0.44	-0.121	-0.017	0.397	-0.312	-0.092	-0.087	-0.696	0.849	-0.005	-0.48	-0.23	-0.182	-0.56	0.112	0.284	-0.187	1.714	-0.614	0.003	0.255	0.197	-0.247	-0.556	-0.043	-0.67	-0.468	-0.181	0.012	0.204	-0.365	-0.541
5552	-0.226	9.996	8.952	-0.05	9.385	0.093	-0.354	9.284	0.454	-0.044	-0.182	1.806	-0.176	-0.335	-0.105	0.048	4.97	-0.415	0.032	0.231	-0.388	0.088	-0.119	-0.148	-0.441	-0.628	-0.488	-0.146	-0.147	-0.186	-0.326	0.359	0.241	0.196	-0.09	0.617	-0.091	-0.628	-0.363	-0.471	-0.034	-0.044	-0.377	-0.088	0.058	-0.401	-0.554	0.272	-0.247	-0.27	0.027	-0.278
8379	0.444	-0.991	3.259	3.005	0.08	2.173	3.512	2.811	2.327	-0.979	0.049	1.162	0.077	0.051	0.006	2.281	-0.998	0.933	0.646	-1.024	-0.342	-1.996	0.606	-0.105	1.589	-0.163	0.263	-1.161	3.083	-3.002	-1.138	-2.415	-1.109	-0.344	-0.933	-0.757	-0.554	-1.094	-1.505	0.748	-0.243	-0.778	-1.686	-0.959	-1.484	-1.75	0.212	-0.074	0.75	-0.376	-1.702	0.211
54796	2.368	0.875	1.847	1.265	-0.028	0.848	1.341	-0.623	1.362	0.497	-0.377	0.047	-0.015	-0.493	0.084	0.079	1.413	-0.349	0.213	-0.296	-0.417	0.665	-0.207	-0.231	-0.49	0.206	-0.063	-0.01	0.522	-0.217	-0.337	0.149	0.493	0.181	-0.72	-0.675	-0.643	-0.44	0.106	-0.699	0.507	0.202	-0.113	-0.609	-0.662	-0.736	-0.848	-0.42	-0.84	-0.115	0.036	-0.589
23255	3.709	0.31	1.652	4.026	4.915	0.189	0.114	0.418	3.228	-1.149	-0.673	1.186	-0.373	-0.811	-0.837	0.867	0.401	-0.697	-0.741	-1.143	0.521	4.62	-0.351	-1.5	1.74	-0.467	1.963	-0.239	1.345	1.295	-1.082	0.155	-0.543	-0.465	0.765	-1.144	-0.086	-0.984	-0.303	3.429	-0.637	-0.017	-0.709	-0.143	-1.164	-0.526	-1.138	-0.587	0.114	-0.878	-0.709	0.597
9760	0.026	0.496	1.002	0.6	1.024	-0.086	0.087	0.858	0.589	-0.088	0.077	-0.25	-0.251	-0.4	-0.432	-0.169	-0.052	-0.315	-0.07	-0.124	0.463	0.701	0.654	-0.102	0.22	0.034	0.534	0.186	-0.075	0.035	-0.342	-0.21	-0.176	-0.357	0.181	-0.09	-0.275	-0.014	-0.211	0.405	-0.052	-0.045	-0.122	-0.108	-0.222	-0.335	-0.334	0.035	-0.302	-0.184	-0.023	-0.397
55014	-0.569	-1.052	-1.37	-0.057	-0.422	-0.78	-0.191	-0.798	-0.087	0.283	0.149	0.287	0.113	0.117	0.389	0.042	0.453	-0.006	-0.746	-0.487	-0.12	0.054	0.201	0.39	-0.185	-0.881	-0.601	0.355	0.559	-0.224	-0.307	0.484	0.477	0.585	-0.431	-0.403	0.273	-0.616	-0.058	-0.481	-0.154	-0.144	-0.343	0.427	0.574	0.013	-0.081	-0.323	-0.289	-0.038	-0.204	0.7
180	-0.519	-1.057	-0.699	-0.548	-1.148	-0.697	-0.317	-1.091	-1.708	0.525	0.701	-0.012	-0.811	0.443	-0.063	-0.799	-0.118	0.882	0.646	-0.392	-0.261	0.255	0.66	0.673	0.06	-0.33	0.355	0.05	0.059	-1.005	0.17	-0.307	-0.995	0.354	-0.778	-0.525	-0.2	0.05	0.028	0.513	0.576	-0.373	0.178	-0.071	0.344	-0.355	0.694	0.609	0.453	-1.717	-1.408	-0.155
4323	1.979	1.755	0.734	-0.075	-0.289	1.591	-0.138	-0.376	2.261	0.302	-0.699	-0.223	-0.008	-0.591	-0.312	0.621	1.329	0.03	0.721	0.206	-0.932	0.56	0.574	0.132	0.716	-0.233	-1.163	0.035	-0.234	1.315	0.522	-0.119	0.043	-0.519	-0.285	0.192	-0.566	-0.07	-0.201	-0.54	0.072	-0.261	-0.35	0.184	-0.203	-0.177	-1.195	-0.26	-1.083	-0.113	-0.219	-0.687
23741	0.87	0.625	0.559	1.011	1.19	1.001	0.913	1.873	0.885	-0.166	-1.456	-0.48	-1.712	-0.528	0.637	-0.497	0.012	-0.713	-2.082	0.424	-0.67	0.01	-2.177	-0.801	-1.371	-4.192	-0.347	-0.437	-0.75	-1.253	-1.289	0.731	-1.352	0.188	1.038	-0.028	-0.525	-0.115	0.794	-1.174	-3.451	2.122	2.44	0.138	-0.169	-0.281	0.075	1.059	-0.581	0.732	1.419	-0.558
7278	0.457	0.727	0.981	-0.121	0.383	0.967	-0.04	0.848	-0.122	0.053	-0.167	-0.07	-0.002	-0.53	-0.404	0.291	0.105	-0.495	0.153	-0.443	-0.378	-0.219	-0.156	0.121	0.038	-0.352	-0.337	-0.2	0.316	-0.174	-0.428	-0.307	0.679	0.356	0.318	-0.433	-0.645	0.409	-0.027	-0.526	-0.879	-0.397	-0.555	0.025	-0.467	-0.014	-0.716	0.016	-1.135	-0.589	0.169	-0.005
54934	-0.63	-0.791	-1.512	-0.696	-0.06	-1.074	-1.142	-0.711	-1.292	-0.095	0.133	-0.012	0.526	1.109	0.14	-0.305	-0.179	0.075	-0.49	-0.25	0.319	-0.912	0.705	0.434	0.069	-0.191	0.525	0.233	-0.376	-1.035	0.853	-0.578	0.975	0.078	0.177	-0.542	0.081	-0.289	0.272	-0.082	-0.03	-0.076	0.925	-0.505	0.107	-0.709	0.665	1.29	-0.064	-0.432	-0.273	0.143
3676	0.384	1.247	0.423	1.323	-0.295	0.62	0.392	-0.092	1.392	0.146	-0.442	-0.273	-0.364	-0.398	-0.242	0.259	2.098	-0.397	0.1	-0.169	0.003	0.384	-0.236	0.073	-0.374	0.635	-0.364	-0.555	0.085	-0.087	-0.244	0.237	0.205	-0.078	-0.148	0.008	-0.185	-0.065	-0.342	-0.384	-0.019	-0.116	-0.233	-0.057	0.003	-0.1	-0.579	-0.103	-0.48	-0.214	-0.16	-0.397
