classes	BT549 || Claudin	HBL100 || Claudin	HS578T || Claudin	MDAMB157 || Claudin	MDAMB231 || Claudin	MDAMB435 || Claudin	MDAMB436 || Claudin	SUM159PT || Claudin	SUM1315 || Claudin	600MPE || Others	AU565 || Others	BT20 || Others	BT474 || Others	BT483 || Others	CAMA1 || Others	DU4475 || Others	HCC38 || Others	HCC70 || Others	HCC202 || Others	HCC1007 || Others	HCC1008 || Others	HCC1143 || Others	HCC1187 || Others	HCC1428 || Others	HCC1500 || Others	HCC1569 || Others	HCC1599 || Others	HCC1937 || Others	HCC1954 || Others	HCC2157 || Others	HCC2185 || Others	HCC3153 || Others	LY2 || Others	MCF7 || Others	MDAMB134 || Others	MDAMB175 || Others	MDAMB361 || Others	MDAMB415 || Others	MDAMB453 || Others	MDAMB468 || Others	SKBR3 || Others	SUM44PE || Others	SUM52PE || Others	SUM149PT || Others	SUM185PE || Others	SUM190PT || Others	SUM225CWN || Others	T47D || Others	UACC812 || Others	ZR751 || Others	ZR7530 || Others	ZR75B || Others
Group	Claudin	Claudin	Claudin	Claudin	Claudin	Claudin	Claudin	Claudin	Claudin	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others	Others
1289	3.797	2.489	2.207	3.128	-0.624	-0.007	1.105	1.348	0.649	-0.016	0.075	1.364	-0.33	0.119	1.144	0.315	2.151	-0.11	0.17	-0.327	-0.704	-0.4	-0.722	-0.087	-0.221	-0.198	-1.161	0.092	0.769	-0.354	1.397	0.346	-0.103	0.494	-0.604	0	-0.477	-0.237	-0.404	-0.827	0.672	-0.344	0.047	-0.374	-0.232	0.013	0.017	-0.294	-0.979	-0.712	-0.352	-0.878
25984	-1.464	-2.514	-1.504	-1.403	-2.495	-1.285	-2.392	-1.733	-1.218	3.597	1.947	-1.083	-1.062	1.208	-2.107	-0.957	5.286	5.163	0.813	6.759	4.279	6.444	-1.314	-0.935	-1.346	7.078	6.814	7.537	3.888	8.567	0.513	8.136	-1.94	-1.603	-0.463	0.834	-1.159	0.16	-0.492	8.257	-0.091	-1.036	3.815	-0.083	2.707	2.836	5.164	8.772	3.709	-1.143	3.436	-2.516
3489	-0.152	6.299	4.584	3.022	1.367	0.199	3.889	3.621	-0.214	-0.316	-1.063	-1	-0.818	-0.863	0.298	0.418	5.02	0.349	0.355	-0.82	-0.979	0.988	0.141	-1.068	4.315	-0.03	-0.699	4.293	-0.742	-0.525	-0.722	-0.681	1.291	0.538	-0.238	0.319	-0.915	-0.659	-0.5	-0.551	0.223	-0.436	-0.811	3.66	-0.368	1.425	-1.061	0.108	-0.979	-0.15	0.081	-1.515
55635	0.864	0.505	1.408	-0.439	1.47	-0.679	0.888	1.717	1.906	-1.288	-1.156	-0.031	0.281	-2.352	-1.267	-0.485	0.017	1.52	-0.274	-0.16	0.231	-1.09	1.757	-0.302	0.137	-0.116	-0.087	0.635	0.215	0.63	-1.314	0.173	-1.391	0.099	0.068	-2.23	-0.928	-0.541	-1.112	1.282	0.31	-2.165	-1.064	0.864	-2.249	0.119	-0.256	-0.33	-0.487	0.436	-0.188	-1.125
23151	-0.931	-1.989	-1.133	-1.349	-0.678	0.217	-0.592	-1.348	-0.328	1.239	-0.81	-0.588	0.784	0.207	1.317	0.108	-0.434	0.753	-0.205	-0.433	1.033	0.131	1.539	-0.21	-0.991	0.254	0.375	-0.72	0.149	-0.661	-1.354	-0.131	0.142	-0.627	0.628	1.712	1.074	0.74	4.286	-0.246	-0.975	2.297	0.749	-0.777	2.849	-0.237	2.007	-0.237	1.09	0.133	1.114	-0.079
54908	2.688	1.81	2.052	2.613	2.782	-1.135	1.148	1.812	2.812	-1.175	-1.4	-0.097	-0.364	-0.232	0.464	-0.772	0.729	-0.214	-1.711	-1.61	1.35	-1.077	-0.103	-1.002	0.763	-0.101	1.089	0.996	0.032	0.971	-0.916	0.192	0.385	-0.084	-0.245	-1.722	-1.523	-0.177	0.481	2.026	-1.016	-1.847	-1.476	0.623	-1.13	-0.162	0.448	-1.31	-0.242	-0.514	-1.124	0.488
928	-6.613	-4.595	-4.631	-3.941	-0.934	0.721	-4.159	-4.366	-2.713	2.352	-0.739	-2.123	1.153	3.039	1.117	1.591	-0.347	1.69	0.571	0.005	-1.071	1.555	-0.1	1.501	-1.515	-0.846	-0.479	1.196	-0.855	-0.659	1.797	0.408	-1.954	0.615	-5.243	1.998	1.366	-0.399	1.736	-1.097	-0.948	1.45	1.018	1.16	0.369	1.544	1.622	-4.462	0.593	-5.611	2.562	0.147
57402	-4.811	-4.54	-4.961	-5.209	-6.622	-5.376	-6.069	-5.95	-5.58	2.104	1.411	-2.495	-0.856	-2.023	3.705	-3.951	-3.802	0.756	1.077	1.456	-4.058	1.364	-4.325	-4.358	-1.735	-5.234	-3.025	-0.167	1.177	-4.804	0.059	-0.047	1.683	-2.832	-5.774	1.199	0.078	2.248	1.414	0.132	2.973	1.081	2.825	-0.417	1.792	2.127	0.744	-5.658	1.37	2.585	3.179	3.225
4276	0.936	2.028	1.108	1.423	2.784	0.125	0.932	1.118	1.111	-1.923	-3.246	0.166	-2.027	-0.421	3.888	-2.281	-0.739	-0.328	-1.116	-2.253	-1.209	-0.116	0.152	0.204	0.468	-1.932	-1.054	-0.468	0.8	-1.053	-1.553	0.322	-0.505	0.276	-0.044	-0.812	-2.1	0.286	-0.174	1.093	-3.925	-0.69	1.03	1.54	-0.299	0.458	0.48	-0.426	0.346	-0.661	-0.632	-1.304
57490	-0.495	-0.852	-0.862	-1.225	-1.185	-0.832	-1.671	-1.518	-1.158	0.751	-0.04	-0.883	0.501	0.503	0.579	-0.3	-0.769	0.247	0.841	-0.078	-0.596	0.393	1.466	-0.072	-1.555	-0.264	-0.42	-0.832	-0.326	0.828	0.909	-0.984	-0.278	0.371	-0.164	0.29	-0.211	0.721	-0.051	-0.643	0.34	0.403	0.906	-0.08	0.6	0.006	-0.164	-0.078	0.661	0.894	-0.039	1.452
