# Benjamin Haibe-Kains. All rights reserved.
# modelname: EEI
# mean.1: -0.786424 -0.699885
# mean.2: 0.0259983 0.736014
# mean.3: 0.539605 -0.509828
# sigma: 0.0742857 0.0543618
# pro: 0.299419 0.139535 0.561047
# scale: 0.0635476
# shape: 1.16898 0.855449
# cutoff.AURKA: -0.202763
"module","probe","EntrezGene.ID","coefficient"
"","218584_at","79600","17.4976"
"","209800_at","3868","-17.4894"
"","210073_at","6489","-17.47"
"","204703_at","8100","17.4698"
"","205012_s_at","3029","17.3723"
"","205081_at","1396","17.3468"
"","201201_at","1476","-17.344"
"","220588_at","55653","17.3284"
"","213712_at","54898","17.2968"
"","209373_at","7851","-17.296"
"","203021_at","6590","-17.2924"
"","207437_at","4857","17.2898"
"","221641_s_at","23597","-17.2788"
"","218086_at","56654","17.2653"
"","216988_s_at","8073","17.259"
"","201938_at","8099","-17.2142"
"","212144_at","25777","-17.2064"
"","207002_s_at","5325","-17.189"
"","205380_at","5174","17.1829"
"","211907_s_at","84612","17.0998"
"","209842_at","6663","-17.0957"
"","202134_s_at","25937","-17.0952"
"","212704_at","23318","-17.0932"
"","206483_at","23639","17.0913"
"","207076_s_at","445","-17.0696"
"","215707_s_at","5621","-17.0682"
"","202644_s_at","7128","-17.0514"
"","219981_x_at","84914","17.0444"
"","206469_x_at","22977","17.0283"
"","213419_at","323","16.9927"
"","211214_s_at","1612","-16.9805"
"","221139_s_at","51380","16.9669"
"","218262_at","64777","16.9377"
"","204613_at","5336","-16.9322"
"","203702_s_at","9654","-16.9299"
"","209122_at","123","-16.9276"
"","219206_x_at","51643","16.9204"
"","210239_at","10265","16.8878"
"","219634_at","50515","-16.8799"
"","218921_at","59307","16.8734"
"","220559_at","2019","-16.8729"
"","212067_s_at","715","-16.8613"
"","212345_s_at","64764","-16.8517"
"","208202_s_at","23338","16.8139"
"","219438_at","79570","16.7853"
"","202121_s_at","27243","16.7836"
"","209224_s_at","4695","16.7775"
"","204199_at","9649","16.7721"
"","204540_at","1917","16.7622"
"","209016_s_at","3855","-16.7559"
"","206197_at","8382","16.7407"
"","217894_at","51133","16.7376"
"","214009_at","10943","-16.7319"
"","203246_s_at","10641","16.6878"
"","213270_at","4355","16.6523"
"","203180_at","220","-16.6344"
"","209211_at","688","-16.6231"
"","203315_at","8440","-16.6058"
"","218806_s_at","10451","16.5942"
"","206869_at","1101","16.5906"
"","206474_at","5128","16.5673"
"","202704_at","10140","16.5477"
"","213285_at","161291","16.5331"
"","204914_s_at","6664","-16.5134"
"","213283_s_at","6297","16.4657"
"","219001_s_at","79269","16.4441"
"","202772_at","3155","16.4411"
"","218220_at","60314","16.4064"
"","209624_s_at","64087","16.3972"
"","221223_x_at","1154","16.3682"
"","216222_s_at","4651","-16.3618"
"","211027_s_at","3551","16.3402"
"","203750_s_at","5914","16.2986"
"","203126_at","3613","-16.2915"
"","218217_at","59342","-16.2912"
"","204497_at","115","16.2898"
"","202233_s_at","7388","-16.2747"
"","204087_s_at","8884","-16.2696"
"","212925_at","126353","16.2422"
"","205376_at","8821","16.2328"
"","209170_s_at","2824","-16.2163"
"","201413_at","3295","16.2139"
"","209034_at","10957","-16.1999"
"","203712_at","9933","-16.1994"
"","201487_at","1075","-16.1829"
"","221710_x_at","55194","16.1754"
"","209191_at","84617","-16.1704"
"","209123_at","5860","16.1055"
"","217024_x_at","140885","-16.0842"
