# Benjamin Haibe-Kains. All rights reserved.
# model.name: EEI
# mean.1: -0.673211 -0.73176
# mean.2: 0.0205898 0.695856
# mean.3: 0.472702 -0.325296
# sigma: 0.105157 0.0723926
# pro: 0.271955 0.13881 0.589235
# scale: 0.0872499
# shape: 1.20523 0.829715
# gaussian.AURKA.mean: -0.243212
# gaussian.AURKA.sigma: 0.229011
# rescale.q: 0.05
"module","probe","EntrezGene.ID","coefficient"
"","220941_s_at","54149","-0.457411333"
"","219734_at","54847","0.457175309"
"","217939_s_at","54812","0.455170453"
"","208370_s_at","1827","-0.453183431"
"","219415_at","57348","-0.451652744"
"","204541_at","23541","0.449863872"
"","212345_s_at","64764","-0.448881541"
"","205357_s_at","185","0.448719626"
"","212925_at","126353","0.448608295"
"","204144_s_at","9091","0.448022351"
"","220238_s_at","55975","-0.447153122"
"","218450_at","50865","0.446561227"
"","203687_at","6376","-0.446476272"
"","218902_at","4851","-0.446280238"
"","201860_s_at","5327","0.446276147"
"","205730_s_at","22885","0.446223817"
"","218922_s_at","79603","0.44467496"
"","210239_at","10265","0.444238765"
"","205645_at","9185","0.442965761"
"","201913_s_at","80347","0.441985485"
"","205948_at","11122","0.441958947"
"","207222_at","8399","0.441846629"
"","204580_at","4321","-0.440265646"
"","204087_s_at","8884","-0.439829082"
"","219223_at","11094","0.438954737"
"","202257_s_at","10421","0.438472091"
"","204634_at","6787","0.438354592"
"","220414_at","51806","-0.436926611"
"","203657_s_at","8722","0.436109995"
"","218548_x_at","51368","0.435409448"
"","204724_s_at","1299","-0.434531561"
"","210147_at","419","-0.433044149"
"","210246_s_at","6833","0.43299799"
"","203384_s_at","2800","0.432417726"
"","215407_s_at","23245","0.432272945"
"","210006_at","25864","0.431227602"
"","204470_at","2919","-0.431039144"
"","204540_at","1917","0.430874995"
"","219984_s_at","57110","-0.430404677"
"","202376_at","12","0.430128647"
"","217867_x_at","25825","-0.429612482"
"","206560_s_at","8190","-0.429561643"
"","218588_s_at","10827","0.427773891"
"","209170_s_at","2824","-0.427597926"
"","205204_at","4828","-0.426745009"
"","212400_at","399665","0.426089803"
"","201833_at","3066","-0.425271417"
"","210145_at","5321","-0.424165225"
"","210024_s_at","10477","-0.42413489"
"","207996_s_at","753","0.423862631"
"","222068_s_at","123872","0.423132817"
"","205891_at","136","-0.423063611"
"","202859_x_at","3576","-0.422638001"
"","212593_s_at","27250","0.42229844"
"","204975_at","2013","0.421077857"
"","205205_at","5971","-0.420584745"
"","51146_at","55650","0.420582519"
"","202308_at","6720","0.417450053"
"","218424_s_at","55240","-0.414662946"
"","222242_s_at","25818","-0.413404194"
"","217934_x_at","10273","0.413376875"
"","202345_s_at","2171","-0.412190443"
"","211002_s_at","23650","-0.411539037"
"","219582_at","79627","-0.411475888"
"","209822_s_at","7436","-0.410161498"
"","219681_s_at","80223","0.409041709"
"","215189_at","3892","-0.408987833"
"","206023_at","10874","-0.408795522"
"","202458_at","11098","0.408630816"
"","205364_at","8309","0.408316599"
"","208388_at","10002","0.407775212"
"","219225_at","79605","-0.407055836"
"","212145_at","23107","0.406366641"
"","202185_at","8985","-0.40629339"
"","201841_s_at","3315","0.406168651"
"","201349_at","9368","0.405852497"
"","218877_s_at","60487","-0.405661423"
"","218760_at","51004","0.40443291"
"","205350_at","1381","-0.404290272"
"","204846_at","1356","-0.404043367"
"","212641_at","3097","-0.403644465"
"","213679_at","92104","0.403451511"
"","209781_s_at","10656","-0.403404082"
"","200877_at","10575","-0.40322219"
"","221577_x_at","9518","0.402707288"
"","215034_s_at","4071","-0.4024996"
"","205441_at","79629","0.402331924"
"","204043_at","6948","-0.401648185"
"","218363_at","55218","0.401498328"
"","218847_at","10644","-0.401374475"
"","219268_at","55224","0.400594749"
"","218524_at","1877","0.400337951"
"","210046_s_at","3418","-0.400139137"
"","219654_at","9200","-0.39972249"
"","205157_s_at","3872","-0.397957678"
"","205420_at","5191","0.396991099"
"","219951_s_at","55184","0.39674387"
"","203120_at","7159","-0.395726104"
"","211538_s_at","3306","0.395674599"
"","203740_at","10200","-0.395547529"
"","219956_at","11226","0.395283101"
"","214079_at","10202","0.394698247"
"","201563_at","6652","0.394652204"
"","217794_at","54458","0.392279425"
"","204201_s_at","5783","0.392109759"
"","220956_s_at","112398","0.392095205"
"","202096_s_at","706","-0.391698447"
"","209211_at","688","-0.391133423"
"","210397_at","1672","-0.39076646"
"","212730_at","23336","-0.390343621"
"","219474_at","79669","0.388442276"
"","215043_s_at","11042","0.388381527"
"","218868_at","57180","-0.386597593"
"","215983_s_at","7993","0.382878926"
"","221036_s_at","83464","0.38272656"
"","204818_at","3294","-0.382708051"
"","218774_at","28960","-0.382677173"
"","204485_s_at","10040","0.382624539"
"","221942_s_at","2982","-0.38254572"
"","219470_x_at","54619","-0.381117497"
"","200862_at","1718","0.380176977"
"","218401_s_at","23528","0.379127283"
"","213094_at","57211","-0.37693751"
"","213060_s_at","1117","-0.37689236"
"","201387_s_at","7345","-0.376791945"
"","205239_at","374","0.375610148"
"","207144_s_at","4435","0.375304645"
"","203458_at","6697","0.374042555"
"","220339_s_at","25823","0.373878408"
"","220319_s_at","29116","0.373793594"
"","219127_at","79170","0.373271428"
"","206115_at","1960","0.373008187"
"","219143_s_at","54913","-0.372371912"
"","210002_at","2627","-0.370813466"
"","218309_at","55450","0.370660238"
"","205830_at","1047","0.369392157"
"","202704_at","10140","0.367622466"
"","202851_at","79719","0.364020628"
"","212816_s_at","875","-0.363571667"
"","205476_at","6364","-0.363194719"
"","209772_s_at","934","-0.362829512"
"","210202_s_at","274","-0.362009334"
"","222108_at","347902","0.36104055"
"","204295_at","6834","0.360498545"
"","206125_s_at","11202","-0.359987052"
"","209074_s_at","11170","-0.359018034"
"","219044_at","55258","0.358273868"
"","206034_at","5271","-0.358083946"
"","204855_at","5268","-0.358027325"
"","207813_s_at","2232","0.357851956"
