symbol,probe.affy,EntrezGene.ID,group,weight
MKI67,212022_s_at,4288,proliferation,0.208
AURKA,208079_s_at,6790,proliferation,0.208
BIRC5,202095_s_at,332,proliferation,0.208
CCNB1,214710_s_at,891,proliferation,0.208
MYBL2,201710_at,4605,proliferation,0.208
MMP11,203876_s_at,4320,invasion,0.05
CTSL2,210074_at,1515,invasion,0.05
GRB7,210761_s_at,2886,her2,0.423
ERBB2,216836_s_at,2064,her2,0.047
ESR1,205225_at,2099,estrogen,-0.068
PGR,208305_at,5241,estrogen,-0.102
BCL2,203684_s_at,596,estrogen,-0.085
SCUBE2,219197_s_at,57758,estrogen,-0.085
GSTM1,204550_x_at,2944,undefined,-0.08
CD68,203507_at,968,undefined,0.05
BAG1,202387_at,573,undefined,-0.07
ACTB,AFFX-HSAC07/X00351_5_at,60,reference,NA
GAPDH,AFFX-HUMGAPDH/M33197_5_at,2597,reference,NA
RPLP0,NA,6175,reference,NA
GUSB,NA,2990,reference,NA
TFRC,NA,7037,reference,NA
